wind_speed_m_s,power_kw
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,44
4.5,120
5,195
5.5,299
6,403
6.5,538
7,673
7.5,925
8,1176
8.5,1520
9,1728
9.5,1841
10,1894
10.5,1950
11,1980
11.5,1990
12,2000
12.5,2000
13,2000
13.5,2000
14,2000
14.5,2000
15,2000
15.5,2000
16,2000
16.5,2000
17,2000
17.5,2000
18,2000
18.5,2000
19,2000
19.5,2000
20,2000
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
